"key","type","en","bg","br","cn","cz","de","dk","ee","es","fi","fr","gr","hr","hu","it","jp","lt","lu","lv","nl","pl","pt","ro","rs","ru","se","si","sk","tr","ua"
"INTL_NEO6M","const","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS（NEO 6M）","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)","GPS (NEO 6M)"
"INTL_BASICAUTH","const","Authentication","Оторизация","Autorização","认证","Přihlášení","BasicAuth aktivieren","Aktiver BasicAuth","Autentimine","Autorización","Tunnistus","Activer BasicAuth","Αυθεντικοποίηση","Pristupni podaci","Azonosítás","Autorizzazione","認証","Autentiškumo nustatymas","BasicAuth aktivéieren","Autentifikācija","Toegang beperken","Autoryzacja","Autorização","Autentificare","Autorizacija","Активировать аутентификацию для входа в интерфейс сенсора","Aktivera BasicAuth","Preverjanje pristnosti","Prihlásenie (heslom)","yetkilendirme","Авторизація"
"INTL_REPORT_ISSUE","define","Report an issue","Подаване на сигнал за проблем","Reporter um problema","报告问题","Nahlásit problém","Ein Problem melden","Rapporter et problem","Teatage probleemist","Reportar un problema","Ilmoita asiasta","Signaler un problème","Αναφέρετε ένα θέμα","Prijavite problem","Jelents egy hibát","Segnala un problema","問題を報告する","Pranešti apie problemą","E Feeler melden","Ziņot par problēmu","Een probleem melden","Zgłoś problem","Comunicar um problema","Raportați o problemă","Prijavite problem","Сообщить о проблеме","Rapportera ett problem","Prijavite težavo","Report an issue","Sorun bildirin","Повідомте про проблему"
"INTL_FS_WIFI_DESCRIPTION","const","WiFi Sensor in configuration mode","WiFi сензор в режим на конфигуриране","Nome do sensor Wi-Fi em modo de configuração","WiFi传感器在配置模式下","Wi-Fi modul v konfiguračním módu","Sensor WLAN Name im Konfigurationsmodus","Wi-Fi sensor i opsætningsmode","WiFi andur konfigureerimisrežiimis","Sensor WiFi en modo de configuración","WiFi Sensor konfigurointitilassa","Nom du capteur wifi en mode de configuration","Αισθητήρας WiFi σε λειτουργία διαμόρφωσης","WiFi mreža kod instalacije","WiFi Szenzor konfigurációs módban","Sensore WiFi in modalità configurazione","設定モードのWiFiセンサー","WiFi jutiklio konfigūravimo režimas","WiFi Sensor Numm am Konfiguratiounsmodus","WiFi sensors konfigurācijas režīmā","Netwerknaam en -wachtwoord van de fijnstofsensor","Parametry WiFi w trybie konfiguracji czujnika","Nome do sensor WiFi em modo de configuração","Senzorul WiFi în modul de configurare","WiFi senzor u konfiguracionom režimu","Название WiFi устройства в режиме конфигурации","WiFi-sensor i konfigurationsläge","Senzor WiFi v načinu konfiguracije","WiFi modul v konfiguračnom móde","WiFi Sensörü Yapılandırma modunda","WiFi сенсор в режимі конфігурації"
"INTL_FS_WIFI_NAME","const","Network name","Име","Nome","网络名称","Název","Name","Sensorens Wi-Fi navn","Võrgu nimi","Nombre","Verkon nimi","Nom","Όνομα δικτύου","Naziv mreže","Név","Nome","ネットワーク名","Tinklo pavadinimas","Numm","Tīkla nosaukums","Naam (SSID)","Nazwa sieci","Nome","Numele rețelei","Naziv","Имя","Sensorns WLAN namn","Ime omrežja","Názov siete","Isim","Ім'я"
"INTL_MORE_SETTINGS","const","More settings","Още настройки","Outras configurações","更多设置","Další nastavení","Weitere Einstellungen","Avancerede indstillinger","Rohkem seadistusi","Más configuraciones","Lisää asetuksia","Autres paramètres","Περισσότερες ρυθμίσεις","Dodatne postavke","További beállítások","Altre configurazioni","より多くの設定","Daugiau nustatymų","Méi Astellungen","Vairāk iestatījumu","Meer instellingen","Więcej ustawień","Outras configurações","Mai multe setări","Više podešavanja","Дополнительные настройки","Avancerade inställningar","Več nastavitev","Ďalšie nastavenia","Daha fazla ayar","Додаткові параметри"
"INTL_AUTO_UPDATE","const","Auto update firmware","Автоматична актуализация","Atualização automática de Firmware","自动更新固件","Autom. aktualizace","Auto Update","Automatisk opdatering","Automaatne püsivara uuendamine","Actualización automática del Firmware","Automaattinen laiteohjelmiston päivitys","Mise a jour automatique","Αυτόματη ενημέρωση υλικολογισμικού","Automatsko ažuriranje firmvera","Firmware automatikus frissítése","Aggiornamento automatico firmware","ファームウェアの自動更新","Automatinis programinės įrangos atnaujinimas","Automateschen Update","Automātiska programmaparatūras atjaunināšana","Firmware automatisch bijwerken","Aktualizuj firmware automatycznie","Atualização automática do Firmware","Actualizare automată a firmware-ului","Automatski ažuriraj firmver","Автоматическое обновление","Automatisk uppdatering","Samodejno posodabljanje vdelane programske opreme","Auto. aktualizácia","Yazılımı (Firmware) Otomatik güncelle ","Автооновлення мікропрограми"
"INTL_USE_BETA","const","Load beta firmware","Зареждане на бета актуализация","Carregar Firmware Beta","加载测试版固件","Nahrát betaverzi","Lade Beta Versionen","Brug beta-versioner","Laadige beeta püsivara","Cargar del firmware beta","Lataa beta-firmware","Télécharger la version bêta","Φόρτωση firmware beta","Učitaj beta verziju firmvera","Béta firmware letöltése","Carica il firmware beta","ベータ版ファームウェアの読み込み","Įkelti beta programinę įrangą","Beta Versiounen eroflueden","Ielādēt beta versijas programmaparatūru","Installeer beta-firmwares","Załaduj firmware beta","Carregar Firmware Beta","Încărcați firmware-ul beta","Učitaj beta firmver","Устанавливать бета-версии","Använd beta-versioner","Nalaganje vdelane programske opreme beta","Nahrať betaverziu","Beta Yazılımı(Firmware) yükle","Встановлювати бета-версії мікропрограми"
"INTL_DISPLAY","const","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","有機EL SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306","OLED SSD1306"
"INTL_SH1106","const","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","有機EL SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106","OLED SH1106"
"INTL_FLIP_DISPLAY","const","OLED display flip","OLED дисплей обръщане","Girar  a tela OLED","OLED显示屏翻转","OLED displej flip","OLED Display um 180° drehen","OLED display flip","OLED-ekraani klapp","Pantalla OLED flip","OLED-näytön kääntäminen","Faire pivoter l'affichage OLED de 180°","Αναδίπλωση οθόνης OLED","OLED display flip","OLED display flip","Ruota il display OLED di 180°","有機ELディスプレイフリップ","OLED ekrano apvertimas","OLED Display em 180° dréien","OLED displeja flip","OLED display omdraaien","Obrót ekranu OLED","Girar a tela OLED de 180°","Afișaj OLED flip","Rotiraj OLED displej (180°)","Перевернуть OLED экран","Vänd OLED-display","Obračanje zaslona OLED","OLED displej flip","OLED ekranını çevirin","Перевернути OLED-дисплей"
"INTL_LCD1602_27","const","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)","LCD 1602 (I2C: 0x27)"
"INTL_LCD1602_3F","const","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)","LCD 1602 (I2C: 0x3F)"
"INTL_LCD2004_27","const","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)","LCD 2004 (I2C: 0x27)"
"INTL_LCD2004_3F","const","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)","LCD 2004 (I2C: 0x3F)"
"INTL_DISPLAY_WIFI_INFO","const","Display Wifi info","Показване на WiFi информация","Mostrar informações da rede Wi-Fi","显示Wifi信息","Zobrazit informace o WiFi","Zeige WiFi Info","Vis WiFi-info","Wifi info kuvamine","Mostrar información de WiFi","Näytä Wifi tiedot","Afficher les informations wifi","Εμφάνιση πληροφοριών Wifi","Prikaz WiFi informacija","Wifi adatok megjelenítése","Visualizza informazioni del wi-fi","Wifi情報の表示","Rodyti WiFi informaciją","WiFi Info uweisen","Wifi informācijas rādīšana","Toon WiFi info","Wyświetl info o WiFi","Mostrar informações WiFi","Afișarea informațiilor Wifi","Prikaži WiFi podatke","Отображать информацию о WiFi","Visa WiFi-information","Prikaz informacij o Wifi","Zobraziť info o WiFi","WiFi Bilgilerini Görüntüle","Відобразити інформацію про Wi-Fi"
"INTL_DISPLAY_DEVICE_INFO","const","Display device info","Информация за устройството на дисплея","Mostrar informações do dispositivo","显示设备信息","Zobrazit informace o zařízení","Zeige Geräteinfo","Vis enhedsinfo","Seadme info kuvamine","Mostrar información del dispositivo","Näytä laitteen tiedot","Afficher les informations de l'appareil","Εμφάνιση πληροφοριών συσκευής","Prikaz informacija o uređaju","Eszközadatok megjelenítése","Visualizza informazioni del dispositivo","デバイス情報の表示","Rodyti informaciją apie įrenginį","Apparat Info uweisen","Parādīt informāciju par ierīci","Toon apparaatinfo","Wyświetl info o urządzeniu","Mostrar informações do dispositivo","Afișarea informațiilor despre dispozitiv","Pokaži informacije o uređaju","Отображать информацию об устройстве","Visa enhetsinfo","Prikaz informacij o napravi","Zobraziť info o zariadení","Cihaz Bilgilerini Görüntüle","Відобразити інформацію про пристрій"
"INTL_STATIC_IP_TEXT","define","Configuration static IP address (all fields must be completed)","Конфигурация на статичен IP адрес (всички полета трябва да са попълнени)","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","Konfiguration statische IP Adresse (alle Felder müssen ausgefüllt sein)","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","Configuration de l'adresse IP statique (tous les champs doivent être remplis)","[[static_ip_text]]","Konfiguracija statičke IP adrese (sva polja moraju biti ispunjena)","[[static_ip_text]]","Testo IP statico","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","Configuratie statisch IP-adres (alle velden moeten ingevuld zijn)","Ustawienie statycznego adresu IP (wszystkie pola wypełnić)","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","Настроить статический IP (необходимо заполнить все поля!)","Konfiguration av statisk IP -adress (alla fält måste fyllas i)","[[static_ip_text]]","[[static_ip_text]]","[[static_ip_text]]","Статична IP-адреса конфігурації (усі поля мають бути заповнені)"
"INTL_STATIC_IP","const","IP address","IP адрес","[[static_ip]]","[[static_ip]]","[[static_ip]]","IP-Adresse","[[static_ip]]","[[static_ip]]","[[static_ip]]","[[static_ip]]","Adresse IP","[[static_ip]]","IP adresa","[[static_ip]]","IP statico","[[static_ip]]","[[static_ip]]","[[static_ip]]","[[static_ip]]","IP-adres","Adres IP","[[static_ip]]","[[static_ip]]","[[static_ip]]","IP адрес","Statisk ip","[[static_ip]]","[[static_ip]]","[[static_ip]]","IP-адреса"
"INTL_STATIC_SUBNET","const","Subnet","Subnet","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","Subnet","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","Subnet","[[static_subnet]]","Subnet","[[static_subnet]]","Subnet statico","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","Subnet","Maska","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","Подсеть","Statisk delnät","[[static_subnet]]","[[static_subnet]]","[[static_subnet]]","Підмережа"
"INTL_STATIC_GATEWAY","const","Gateway","Gateway","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","Gateway","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","Gateway","[[static_gateway]]","Gateway","[[static_gateway]]","Gateway statico","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","Gateway","Brama","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","Шлюз","Statisk gateway","[[static_gateway]]","[[static_gateway]]","[[static_gateway]]","Шлюз"
"INTL_STATIC_DNS","const","DNS server","DNS сървър","[[static_dns]]","[[static_dns]]","[[static_dns]]","DNS Server","[[static_dns]]","[[static_dns]]","[[static_dns]]","[[static_dns]]","Serveur DNS","[[static_dns]]","DNS server","[[static_dns]]","DNS statico","[[static_dns]]","[[static_dns]]","[[static_dns]]","[[static_dns]]","DNS-server","Statyczny DNS","[[static_dns]]","[[static_dns]]","[[static_dns]]","DNS сервер","Statisk DNS","[[static_dns]]","[[static_dns]]","[[static_dns]]","DNS-сервер"
"INTL_DEBUG_LEVEL","const","Debug&nbsp;level","Debug&nbsp;Level","Debug&nbsp;Level","Debug&nbsp;级别","Úroveň ladění","Debug&nbsp;Level","Debug&nbsp;level","Debug&nbsp;tase","Debug&nbsp;Level","Debug&nbsp;taso","Niveau&nbsp;de&nbsp;débogage","Αποσφαλμάτωση&nbsp;επίπεδο","Debug&nbsp;level","Debug&nbsp;Level","Debug&nbsp;Level","デバッグ&nbsp;レベル","Derinimo&nbsp;lygis","Debug&nbsp;Niveau","Debug&nbsp;līmenis","Debugniveau","Poziom&nbsp;debugowania","Debug&nbsp;Level","Debug&nbsp;level","Nivo&nbsp;otklanjanja grešaka","Уровень&nbsp;отладки","Debug&nbsp;level","Debug&nbsp;raven","Ladenie&nbsp;úroveň","Debug&nbsp;seviye","Рівень&nbsp;Зневадження"
"INTL_MEASUREMENT_INTERVAL","const","Measuring interval (sec)","Интервал на измерване","Intervalo de medição","测量间隔(秒)","Interval měření","Messintervall","Målinterval","Mõõtmisintervall (sek)","Intervalo de medición","Mittausväli (sek)","Intervalle de mesure","Διάστημα μέτρησης (sec)","Interval mjerenja (s)","Mérési intervallum","intervallo di misura","測定間隔（秒","Matavimo intervalas (sek.)","Mooss-intervall","Mērīšanas intervāls (s)","Meetinterval","Czas między pomiarami (sek.)","Intervalo de medição","Interval de măsurare (sec)","Merni interval","Измерительный интервал","Mätintervall","Interval merjenja (s)","Interval meraní (sec)"," Ölçüm aralığı","Інтервал між вимірюваннями"
"INTL_DURATION_ROUTER_MODE","const","Duration router mode","Продължителност като рутер","Duração ","持续时间路由器模式","Trvání router módu","Dauer&nbsp;Routermodus","Permanent&nbsp;router-mode","Kestus marsruuteri režiim","Duración del modo enrutador","Reititintilan kesto","Durée mode routeur","Διάρκεια λειτουργίας δρομολογητή","Trajanje router načina rada","Hotspot mód időtartama","Durata della modalità router","持続時間ルータモード","Trukmė maršrutizatoriaus režimas","Zait&nbsp;Routermodus","Ilgums maršrutētāja režīms","Tijdsduur routermodus","Czas trwania w trybie routera (sek.)","Duração&nbsp;Modo roteador","Durata modului router","Trajanje ruter režima","Длительность режима маршрутизатора","Permanent&nbsp;router-modus","Trajanje načina usmerjevalnika","Trvanie router mod","Süre yönlendirici(Router) modu","Тривалість режиму роутера"
"INTL_POWERSAVE","const","Power saving","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","Energiesparen","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","Sauvegarde énergie","[[powersave]]","Ušteda energije","[[powersave]]","Modalità risparmio energetico","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","Energiebesparing","Oszczędzanie energii","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","[[powersave]]","Режим енергозбереження"
"INTL_MORE_APIS","const","More APIs","Още API","Outros API","更多API","Další API","Weitere APIs","Yderligere APIer","Rohkem APIsid","Otros API","Lisää sovellusrajapintoja","Autres API","Περισσότερα APIs","Dodatna programskih sučelja (API)","További API-k","Altre API","その他のAPI","Daugiau API","Aner APIs","Vairāk API","Meer API's","Kolejne API","Outros API","Mai multe API-uri","Više API-ja","Другие API","Ytterligare APIer","Več API-jev","Dalšie API","Daha fazla uygulama programlama arayüzü (API)","Додаткові API"
"INTL_SEND_TO_OWN_API","const","Send data to custom API","Изпращане към собствено API","Enviar para a própria API","发送数据到自定义API","Poslat data na vlastní API","An eigene API senden","Send til eget API","Andmete saatmine kohandatud API-le","Mandar a propio API","Tietojen lähettäminen mukautettuun API:han","Envoyer les données vers l'API personnelle","Αποστολή δεδομένων σε προσαρμοσμένο API","Pošalji na API","Adatok küldése saját API-nak","Invia i dati alla propria API","カスタムAPIへのデータ送信","Duomenų siuntimas į pasirinktinę API","Un eegen API schécken","Datu nosūtīšana uz pielāgotu API","Verzend data naar eigen API","Wysyłaj dane do własnego API","Enviar para a própria API","Trimiteți date către API personalizat","Pošalji podatke mom API-ju","Отправить в свой API","Skicka till eget API","Pošiljanje podatkov v API po meri","Poslať data na vlastné API","uygulama programlama arayüzüne (API)veri gönder","Відправляти дані на власний API"
"INTL_SERVER","const","Server","Сървър","Servidor","服务器","Server","Server","Server","Server","Servidor","Palvelin","Serveur","Διακομιστής","Server","Szerver","Server","サーバー","Serveris","Server","Serveris","Serveradres","Adres serwera","Servidor","Server","Server","Сервер","Server","Strežnik","Server","Sunucu","Сервер"
"INTL_PATH","const","Path","Път","Caminho","路径","Cesta","Pfad","Sti (path)","Teekond","Ruta","Polku","Chemin","Διαδρομή","Path","Útvonal","Percorso","パス","Kelias","Wee","Ceļš","Pad","Ścieżka","Caminho","Calea","Putanja","Путь","Sökväg (path)","Pot","Cesta","Yol","Шлях"
"INTL_PORT","const","Port","Порт","Porta","港口","Port","Port","Port","Sadam","Puerto","Satama","Port","Λιμάνι","Port","Port","Porta","ポート","Uostas","Port","Osta","Poort","Port","Porta","Port","Port","Порт","Port","Pristanišče","Port","kapı","Порт"
"INTL_USER","const","User","Потребител","Usuário","用户","Uživatel","Benutzer","Brugernavn","Kasutaja","Usuario","Käyttäjä","Utilisateur","Χρήστης","Korisnik","Felhasználónév","Utente","ユーザー","Vartotojas","Benotzer","Lietotājs","Gebruiker","Nazwa użytkownika","Utilizador","Utilizator","Korisnik","Пользователь","Användarnamn","Uporabnik","Uživateľ","kullanıcı","Користувач"
"INTL_PASSWORD","const","Password","Парола","Senha","密码","Heslo","Passwort","Kodeord","Parool","Contraseña","Salasana","Mot de passe","Κωδικός πρόσβασης","Lozinka","Jelszó","Password","パスワード","Slaptažodis","Passwuert","Parole","Wachtwoord","Hasło","Senha","Parola","Lozinka","Пароль","Lösenord","Geslo","Heslo","parola","Пароль"
"INTL_MEASUREMENT","const","Measurement","Измерване","Medição","计量","Měření","Messung","Measurement","Mõõtmine","Medición","Mittaus","Mesure","Μέτρηση","Mjerenje","Mérés","Measurement","計測","Matavimas","Miessung","Mērījumi","Measurement","Measurement","Medição","Măsurare","Merenje","Measurement","Measurement","Merjenje","Measurement","Measurement","Measurement"
"INTL_SEND_TO","const","Send to {v}","Изпрати до {v}","Enviar para","发送至{v}","Odeslat na {v}","Senden an {v}","Send til {v}","Saada {v}","Enviar a {v}","Lähetä osoitteeseen {v}","Envoyer à {v}","Στείλτε στο {v}","Pošalji na {v}","Send to {v}","Spedire a {v}","v}に送る","Siųsti į {v}","Schécken op {v}","Nosūtīt uz {v}","Verzend naar {v}","Wysyłaj dane do {v}","Enviar a {v}","Trimiteți la {v}","Pošalji na {v}","Отправлять в {v}","Skicka till {v}","Pošlji na {v}","Odoslať na {v}","Gönder {v}","Відправляти до {v}"
"INTL_READ_FROM","const","Read from {v}","Получено от {v}","Ler","改为{五}。","Čti z {v}","Lese {v}","Hent fra {v}","Loe {v}","Leer {v}","Lue {v}","Lire {v}","Διαβάστε από {v}","Čitaj iz {v}","Read from {v}","Leggi da {v}","v}から読む。","Skaityti iš {v}","Liesen {v}","Lasīt no {v}","Lees uit {v}","Czytaj z {v}","Ler {v}","Citiți de la {v}","Pročitaj iz {v}","Считывать с {v}","Hämta {v}","Preberi od {v}","Čítaj z {v}","Oku {v}","Читати з {v}"
"INTL_SENSOR_IS_REBOOTING","const","Sensor is rebooting.","Сензорът се рестартира.","Sensor sendo reiniciado","传感器正在重新启动。","Zařízení bude restartováno","Sensor wird neu gestartet.","Sensor genstartes.","Andur taaskäivitub.","El sensor se está reiniciando.","Anturi käynnistyy uudelleen.","Le détecteur est en train de redémarrer.","Ο αισθητήρας κάνει επανεκκίνηση.","Senzor se ponovno pokreće.","A Szenzor újraindul...","Riavvio dispositivo.","センサーが再起動しています。","Jutiklis paleidžiamas iš naujo.","De Sensor gëtt neigestart.","Sensors tiek restartēts.","Toestel wordt opnieuw opgestart","Ponowne uruchamianie czujnika.","O sensor esta a ser reiniciado.","Senzorul se repornește.","Senzor se restartuje.","Устройство перезапускается...","Sensor startas om.","Senzor se ponovno zažene.","Senzor sa reštartuje","sistem yeniden yükleniyor","Сенсор перезавантажується."
"INTL_RESTART_DEVICE","const","Restart device","Рестартирайте устройството","Reiniciar dispositivo","重新启动设备","Restartovat zařízení","Gerät neu starten","Genstart enhed","Seadme taaskäivitamine","Reiniciar dispositivo","Käynnistä laite uudelleen","Redémarrer l'appareil","Επανεκκίνηση της συσκευής","Ponovno pokretanje uređaja","Eszköz újraindítása","Riavvia dispositivo","デバイスの再起動","Iš naujo paleiskite įrenginį","Apparat nei starten","Ierīces restartēšana","Herstart toestel","Uruchom ponownie urządzenie","Reiniciar dispositivo","Reporniți dispozitivul","Restartuj uređaj","Перезапустить устройство","Starta om enhet","Ponovni zagon naprave","Reštartovať zariadenie","Cihazı yeniden bağlat","Перезапустити пристрій"
"INTL_DELETE_CONFIG","const","delete saved configuration","Изтриване на Конфигурацията","Apagar configuração atual","删除保存的配置","smazat uložené nastavení","Config.json löschen","Slet Config.json","salvestatud konfiguratsiooni kustutamine","Borrar configruación actual","poista tallennettu konfiguraatio","Effacer le fichier config.json","διαγραφή αποθηκευμένων ρυθμίσεων","Izbriši konfiguraciju","A mentett beállítások törlése","Cancella configurazione","保存した設定の削除","ištrinti išsaugotą konfigūraciją","Config.json läschen","dzēst saglabāto konfigurāciju","Verwijder opgeslagen configuratie","Usuń zapisaną konfigurację","Apagar configuração atual","ștergerea configurației salvate","Obriši sačuvanu konfiguraciju","Удалить config.json ","Ta bort Config.json","brisanje shranjene konfiguracije","Zmazať uloženú konfiguráciu","konfigürasyonu sil","видалити збережену конфігурацію"
"INTL_RESTART_SENSOR","const","Restart sensor","Рестартиране на сензора","Reiniciar sensor","重新启动传感器","Restart senzoru","Sensor neu starten","Genstart sensor","Anduri taaskäivitamine","Reiniciar sensor","Käynnistä anturi uudelleen","Redémarrer le capteur","Επανεκκίνηση αισθητήρα","Ponovno pokretanje senzora","A szenzor újraindítása","Riavvio sensore","センサーの再起動","Iš naujo paleiskite jutiklį","Sensor nei starten","Sensora restartēšana","Herstart sensor","Uruchom ponownie czujnik","Reiniciar sensor","Reporniți senzorul","Restartuj senzor","Перезапустить устройство","Starta om sensor","Ponovni zagon senzorja","Reštart senzoru","sensörü yeniden bağlat ","Перезапустити сенсор"
"INTL_HOME","define","Home","Начало","Início","首页","Hlavní stránka","Übersicht","Oversigt","Kodu","Visión general","Etusivu","Aperçu","Αρχική σελίδα","Početna","Főoldal","Home","ホーム","Pagrindinis","Iwwersiicht","Sākums","Home","Strona startowa","Visão geral","Acasă","Naslovna","Меню","Översikt","Domov","Úvod","genel bakış","Головна"
